SEZCENS;ZONASTAT;NCIRCO;SUPERF
1463;33;3;5329.93
1464;33;3;5305.74
1465;33;3;5439.17
1466;33;3;8041.01
1467;33;3;12116.3
1468;33;3;14325.29
1469;33;3;7271.04
1470;33;3;8755.9
1471;33;3;9712.56
1472;33;3;12007.76
1473;33;3;13178.36
1474;33;3;9557.2
1475;33;3;6940.21
1476;33;3;4949.46
1477;33;3;6016.41
1478;33;3;12363.19
1479;33;3;6801.13
1480;33;3;29912
1481;33;3;7821.33
1482;33;3;12455.4
1483;33;3;7479.74
1484;33;3;6443.98
1485;33;3;7124.59
1486;33;3;11037.91
1487;33;3;3346.93
1488;33;3;8243.76
1489;33;3;7418.24
1490;33;3;7184.91
1491;33;3;7159.18
1492;33;3;8685.4
1493;33;3;9739.69
1494;33;3;4975.65
1495;33;3;9011.63
1496;33;3;11076.89
1497;33;3;18100.55
1498;33;3;6270.78
1499;33;3;13226.53
1500;33;3;8334.33
1501;33;3;7013.86
1503;33;3;10307.65
1504;33;3;5369.7
1505;33;3;16440
1506;33;3;10492.24
1507;33;3;28780.27
1508;33;3;9225.59
1509;33;3;8700.27
1510;33;3;82304.53
1511;34;3;32249.91
1512;34;3;6087.56
1513;34;3;6917.87
1514;34;3;4090.75
1515;34;3;8864.97
1516;34;3;5749.05
1517;34;3;24300.89
1519;34;3;14569.7
1520;34;3;9590.04
1521;34;3;8253.3
1522;34;3;5892.12
1523;34;3;18771.51
1524;34;3;10461.3
1525;34;3;8039.43
1526;34;3;5727.19
1527;34;3;11486.24
1528;34;3;2605.2
1529;34;3;5463.53
1530;34;3;7358.8
1531;34;3;45389.11
1532;34;3;26931.69
1533;34;3;30995.72
1534;34;3;65034.09
1535;34;3;14366
1536;34;3;12440.98
1537;34;3;7865.21
1538;34;3;8879.88
1539;34;3;14232.25
1540;34;3;15117.98
1541;34;3;23058.86
1542;35;3;59780.24
1543;35;3;29426.42
1545;35;3;12477.13
1546;35;3;6894.19
1547;35;3;48180.5
1548;35;3;14676.39
1549;35;3;15363
1550;35;3;8819.27
1551;35;3;31176.48
1552;35;3;13262.35
1553;35;3;12861.3
1554;35;3;25528.96
1555;35;3;29711.44
1556;35;3;10570.16
1557;35;3;13942.2
1558;35;3;14109.99
1559;35;3;25158.6
1560;35;3;16080.22
1561;35;3;21881.61
1562;35;3;47623.77
1563;35;3;14264.67
1564;35;3;5583.91
1565;35;3;19369.85
1566;35;3;8397.91
1567;35;3;9492.83
1568;35;3;11131.14
1569;35;3;16405.92
1570;35;3;9213.91
1571;35;3;13597.06
1572;35;3;28670.43
1574;35;3;63563.6
1575;35;2;61918.37
1576;35;2;15204.62
1579;36;6;37160.01
1580;36;6;51026.15
1581;36;6;233360.29
1582;36;6;65447.16
1583;36;6;14476.2
1584;36;6;36088.05
1586;36;7;114791.15
1588;36;7;9950.51
1589;37;6;28726.94
1590;37;6;29632.57
1591;37;6;11535.96
1592;37;6;9056.48
1593;37;6;11507.43
1594;37;6;7713.76
1595;37;6;8249.55
1596;37;6;26251.12
1598;37;6;25406.09
1599;37;6;16196.55
1600;37;6;16151.48
1601;37;6;37504.79
1602;37;6;11869.09
1603;37;6;24317.53
1604;37;6;38728.1
1605;37;6;11999.2
1606;37;6;9692.36
1607;37;6;11117.87
1608;37;6;22296.62
1609;37;6;24293.03
1610;37;6;10165.8
1611;37;6;8622.6
1612;37;6;10689.21
1613;37;6;13688.21
1614;38;6;6575.98
1615;38;6;15465.4
1616;38;6;14977.75
1617;38;6;10188.88
1618;38;6;9165.08
1619;38;6;6180.48
1620;38;6;11801.29
1621;38;6;24249.17
1622;38;6;26225.02
1623;38;6;49185.55
1624;38;6;5163.24
1625;38;6;26252.21
1626;38;6;14849.54
1627;38;6;11040.19
1628;38;6;11761.32
1629;38;6;9768.16
1630;38;6;10193.98
1631;38;6;5711.07
1632;38;6;6214.78
1633;38;6;9024.54
1634;38;6;7940.45
1635;38;6;6353.24
1636;38;6;6604.71
1637;38;6;11046.64
1638;38;6;9516.44
1639;38;6;6509.31
1640;38;6;18823.06
1641;38;6;11449.98
1642;38;6;21908.5
1643;38;6;10215.91
1644;38;6;8400.05
1645;38;6;13218.84
1646;38;6;7482.98
1647;38;6;8108.85
1648;38;6;4659.43
1649;38;6;9579.59
1650;38;6;6018.01
1651;38;6;10894.59
1652;38;6;4343.42
1653;38;6;22458.73
1654;38;6;5927.59
1655;38;6;6900.79
1656;38;6;4842.65
1657;38;6;12313.66
1658;38;6;6195.06
1659;38;6;10264.52
1660;38;6;10186.54
1661;38;6;10751.06
1662;38;6;14449.93
1663;38;6;5562.65
1664;38;6;4628.16
1665;38;6;7123.31
1666;38;6;6014.79
1667;38;6;2637.93
1668;38;6;6057.17
1669;38;6;5991.16
1670;38;6;4562.36
1671;38;6;5810.02
1672;38;6;4805.63
1673;38;6;4667.11
1674;38;6;5285.51
1675;38;6;4578
1676;38;6;5886.72
1677;38;6;4968.27
1678;38;6;3908.44
1679;38;6;10282.2
1680;38;6;4602.82
1681;38;6;5213.39
1682;38;6;7030.32
1683;38;6;6125.12
