COMUNE;SEZ2011;P1;P61;E17;E18;E19;E20
Milano;151460000603;88;48;0;0;0;2
Milano;151460000604;78;39;0;0;0;3
Milano;151460000605;0;0;0;0;0;0
Milano;151460000606;352;168;1;1;1;12
Milano;151460000607;163;83;0;0;0;7
Milano;151460000608;196;103;2;0;0;6
Milano;151460000609;220;107;0;0;0;8
Milano;151460000610;140;64;0;0;0;2
Milano;151460000611;98;43;0;0;0;1
Milano;151460000612;225;100;0;0;0;11
Milano;151460000613;104;51;0;0;0;2
Milano;151460000614;70;38;0;0;0;3
Milano;151460000615;61;29;0;0;0;1
Milano;151460000616;158;73;0;0;0;2
Milano;151460000617;122;59;0;0;0;4
Milano;151460000618;148;76;0;0;1;7
Milano;151460000619;319;184;0;2;1;13
Milano;151460000620;472;199;0;0;0;12
Milano;151460000621;205;104;0;0;2;7
Milano;151460000622;47;23;0;0;0;2
Milano;151460000623;91;45;0;1;0;4
Milano;151460000624;103;50;0;0;0;4
Milano;151460000625;253;120;0;0;0;5
Milano;151460000626;200;87;0;0;0;5
Milano;151460000627;198;97;1;0;0;4
Milano;151460000628;207;94;0;0;0;7
Milano;151460000629;248;114;1;0;0;8
Milano;151460000630;149;66;0;0;0;6
Milano;151460000631;190;95;0;0;0;5
Milano;151460000632;0;0;0;0;0;0
Milano;151460000633;168;75;1;1;1;10
Milano;151460000634;267;123;2;0;0;11
Milano;151460000635;301;145;0;0;0;10
Milano;151460000636;226;105;2;4;8;9
Milano;151460000637;200;89;3;1;1;8
Milano;151460000638;264;111;4;0;0;13
Milano;151460000639;303;139;1;1;0;15
Milano;151460000640;296;127;1;0;0;5
Milano;151460000641;225;108;0;0;0;12
Milano;151460000642;31;27;0;0;1;0
Milano;151460000643;241;109;1;1;3;15
Milano;151460000644;273;122;3;0;1;12
Milano;151460000645;69;25;0;0;0;4
Milano;151460000646;192;48;0;2;2;3
Milano;151460000647;162;76;0;0;0;8
Milano;151460000648;168;84;1;0;1;7
Milano;151460000649;245;126;0;0;2;7
Milano;151460000650;339;153;0;0;0;9
Milano;151460000651;84;39;0;0;0;4
Milano;151460000652;188;90;0;0;5;7
Milano;151460000653;103;42;0;0;6;4
Milano;151460000654;298;138;0;0;0;9
Milano;151460000655;291;168;1;0;0;4
Milano;151460000656;350;162;0;0;0;7
Milano;151460000657;361;185;0;1;2;9
Milano;151460000658;150;78;0;0;0;6
Milano;151460000659;279;122;0;0;0;9
Milano;151460000660;287;133;0;0;0;4
Milano;151460000661;223;34;0;0;0;3
